ptscpu-23102015

 ,"ptscpu"
Processor,8 x Intel Core 2 Duo P9xxx (Penryn Class Core 2) @ 2.39GHz (8 Cores)
Motherboard,OpenStack Foundation Nova v2014.2.3
Chipset,Intel 440FX- 82441FX PMC
Memory,16384MB
Disk,158GB
Graphics,Cirrus Logic GD 5446
Network,Red Hat Virtio device
OS,Ubuntu 14.04
Kernel,3.13.0-66-generic (x86_64)
Compiler,GCC 4.8.4
File-System,ext4

 ,"ptscpu"
"Stream - Type: Copy",7748.41
"Stream - Type: Scale",7207.91
"Stream - Type: Triad",8596.35
"Stream - Type: Add",8201.58
"NAS Parallel Benchmarks - Test / Class: LU.A",5656.48
"Timed MAFFT Alignment - Multiple Sequence Alignment",9.74
"Gcrypt Library - CAMELLIA256-ECB Cipher",4353
"TSCP - AI Chess Performance",492821
"John The Ripper - Traditional DES",20147333
"John The Ripper - Blowfish",5257
"x264 - H.264 Video Encoding",94.58
"GraphicsMagick - HWB Color Space",100
"GraphicsMagick - Local Adaptive Thresholding",45
"GraphicsMagick - Sharpen",51
"GraphicsMagick - Resizing",86
"Himeno Benchmark - Poisson Pressure Solver",715.73
"7-Zip Compression - Compress Speed Test",12739
"C-Ray - Total Time",24.41
"Parallel BZIP2 Compression - 256MB File Compression",8.46
"Smallpt - Global Illumination Renderer; 100 Samples",123
"Crafty - Elapsed Time",141.73
"FLAC Audio Encoding - WAV To FLAC",24.36
"LAME MP3 Encoding - WAV To MP3",28.19
"FFmpeg - H.264 HD To NTSC DV",29.79
"Tachyon - Total Time",20.08
"OpenSSL - RSA 4096-bit Performance",414.30
"Apache Benchmark - Static Web Page Serving",8430.88

